	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	本科及以上	1-3年	12-18k·14薪	2020年04月24日	行政信息化专员（产品设计相关）		小米	https://www.liepin.com/job/1924503745.shtml	https://www.liepin.com/company/2174886/	中国500强	37	信息设计
1	2	统招本科	1-3年	10-20k·12薪	2020年03月20日	百度信息流产品设计师 (生态方向)	北京	Baidu	https://www.liepin.com/job/1926493323.shtml	https://www.liepin.com/company/884492/	中国500强	37	信息设计
2	3	学历不限	经验不限	10-20k·12薪	2019年10月14日	信息图表设计师（大家电团队）	北京	小米	https://www.liepin.com/job/1924116523.shtml	https://www.liepin.com/company/2174886/	中国500强	37	信息设计
3	4	统招本科	3-5年	面议	2019年06月19日	信息流广告设计师	北京	百度时代网络	https://www.liepin.com/job/1920718101.shtml	https://www.liepin.com/company/8369127/	中国500强	37	信息设计
4	5	统招本科	5-10年	面议	2020年04月28日	综合管理部 信息化建设经理	深圳-福田区	中国燃气控股有限公司	https://www.liepin.com/job/1926074815.shtml	https://www.liepin.com/company/8196708/	中国500强	37	信息设计
5	6	统招本科	5-10年	20-26k·12薪	2020年04月28日	建筑设计经理	长沙	江苏中南	https://www.liepin.com/job/1925938023.shtml	https://www.liepin.com/company/2331894/	中国500强	37	信息设计
6	7	学历不限	5-10年	面议	2020年04月27日	文娱影业-视觉设计专家/体验设计专家	杭州	阿里巴巴	https://www.liepin.com/job/1927806851.shtml	https://www.liepin.com/company/1072424/	中国500强	37	信息设计
7	8	本科及以上	5-10年	面议	2020年04月27日	产品经理	珠海	华发集团	https://www.liepin.com/job/1927486241.shtml	https://www.liepin.com/company/8253841/	中国500强	37	信息设计
8	9	本科及以上	3-5年	面议	2020年04月27日	59427-29777-腾讯云能源行业解决方案架构师（北京/上海/广州/深圳）（上海）	上海	腾讯	https://www.liepin.com/job/1927038095.shtml	https://www.liepin.com/company/7983148/	中国500强	37	信息设计
9	10	本科及以上	3-5年	面议	2020年04月27日	59426-29777-腾讯云能源行业解决方案架构师（北京/上海/广州/深圳）（北京）	北京	腾讯	https://www.liepin.com/job/1927038089.shtml	https://www.liepin.com/company/7983148/	中国500强	37	信息设计
10	11	本科及以上	3-5年	面议	2020年04月27日	59425-29777-腾讯云能源行业解决方案架构师（北京/上海/广州/深圳）（广州）	广州	腾讯	https://www.liepin.com/job/1927038087.shtml	https://www.liepin.com/company/7983148/	中国500强	37	信息设计
